[02/03/21 18:13:14:973 GMT]  INFO junit.RuleWatcher: >>> Test_Generate_Metadata_From_FileAssets[7: TestCase{langId=1, storageType=DB, testFile=test_image2.png, fileAssetContent=com.dotmarketing.portlets.contentlet.model.Contentlet@11dff5ff[map={owner=system, nullProperties=[wfExpireDate, wfPublishDate, wfActionAssign, wfActionId, wfActionComments, filterKey, whereToSend, wfNeverExpire, iWantTo, wfPublishTime, wfExpireTime], identifier=a5889b1a-50a6-49b8-8895-e70c73a561ba, fileName=test_image11614704213824.png, modDate=Tue Mar 02 16:56:53 GMT 2021, _is_test_mode=true, languageId=1, description=test_image11614704213824, title=test_image11614704213824.png, inode=828b5e19-1dde-47eb-b2e3-1bf5b7eb92d0, fileAsset=/custom/assets/8/2/828b5e19-1dde-47eb-b2e3-1bf5b7eb92d0/fileAsset/test_image11614704213824.png, metaData={"content":"","contentType":"image/png","fileSize":1849,"height":"300","width":"500"}, folder=f8b808c9-7a3b-4627-a378-89eaee73c0af, __disable_workflow__=true, disabledWYSIWYG=[], sortOrder=0, modUser=system, host=8a7d5e23-da1e-420a-b4f0-471e7da8ea2d, stInode=33888b6f-7a8e-4069-b1b6-5c1aa9d0a48d},lowIndexPriority=false]}](com.dotcms.storage.FileMetadataAPITest) - starting...
[02/03/21 18:13:14:973 GMT]  INFO junit.RuleWatcher: >>>>>>>>>>>>>>>>>>>>>>>>>>
[02/03/21 18:13:14:973 GMT]  INFO storage.FileMetadataAPIImpl:  `468512c0-423e-4f1a-b94c-7cf8b064260a` has these fields: `keywords,fileSize,author,width,contentType,content,height` 
[02/03/21 18:13:14:973 GMT]  INFO storage.StoragePersistenceProvider: Retrieving from storage: DB
[02/03/21 18:13:14:978 GMT]  WARN storage.FileStorageAPIImpl: Object identified by `/dotmetadata/com.dotcms.storage.StorageKey@459071bf` didn't exist in storage full-metadata will be generated.
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction: Transaction broken - Connection that started the transaction is not the same as the one who is commiting
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     java.lang.Thread.getStackTrace(Thread.java:1559)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     com.dotmarketing.db.LocalTransaction.wrapReturnWithListeners(LocalTransaction.java:57)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     com.dotcms.storage.DataBaseStoragePersistenceAPIImpl.wrapInTransaction(DataBaseStoragePersistenceAPIImpl.java:95)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     com.dotcms.storage.DataBaseStoragePersistenceAPIImpl.pushFile(DataBaseStoragePersistenceAPIImpl.java:364)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     com.dotcms.storage.DataBaseStoragePersistenceAPIImpl.pushObject(DataBaseStoragePersistenceAPIImpl.java:503)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     com.dotcms.storage.FileStorageAPIImpl.storeMetadata(FileStorageAPIImpl.java:260)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     com.dotcms.storage.FileStorageAPIImpl.generateMetaData(FileStorageAPIImpl.java:194)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     com.dotcms.storage.FileMetadataAPIImpl.generateFullMetadata(FileMetadataAPIImpl.java:186)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     com.dotcms.storage.FileMetadataAPIImpl.generateContentletMetadata(FileMetadataAPIImpl.java:86)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     com.dotcms.storage.FileMetadataAPIImpl.generateContentletMetadata(FileMetadataAPIImpl.java:252)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     com.dotcms.storage.FileMetadataAPITest.Test_Generate_Metadata_From_FileAssets(FileMetadataAPITest.java:70)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     java.lang.reflect.Method.invoke(Method.java:498)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:50)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:47)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     com.tngtech.java.junit.dataprovider.DataProviderFrameworkMethod.invokeExplosively(DataProviderFrameworkMethod.java:119)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:17)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.junit.rules.TestWatcher$1.evaluate(TestWatcher.java:55)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.junit.rules.RunRules.evaluate(RunRules.java:20)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:325)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     com.dotcms.junit.CustomDataProviderRunner.runChild(CustomDataProviderRunner.java:28)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     com.dotcms.junit.CustomDataProviderRunner.runChild(CustomDataProviderRunner.java:13)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.junit.runners.ParentRunner$3.run(ParentRunner.java:290)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:71)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.junit.runners.ParentRunner.runChildren(ParentRunner.java:288)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.junit.runners.ParentRunner.access$000(ParentRunner.java:58)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:268)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.junit.internal.runners.statements.RunBefores.evaluate(RunBefores.java:26)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.junit.runners.ParentRunner.run(ParentRunner.java:363)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.junit.runners.Suite.runChild(Suite.java:128)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.junit.runners.Suite.runChild(Suite.java:27)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.junit.runners.ParentRunner$3.run(ParentRunner.java:290)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:71)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.junit.runners.ParentRunner.runChildren(ParentRunner.java:288)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.junit.runners.ParentRunner.access$000(ParentRunner.java:58)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:268)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.junit.runners.ParentRunner.run(ParentRunner.java:363)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.gradle.api.internal.tasks.testing.junit.JUnitTestClassExecutor.runTestClass(JUnitTestClassExecutor.java:106)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.gradle.api.internal.tasks.testing.junit.JUnitTestClassExecutor.execute(JUnitTestClassExecutor.java:58)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.gradle.api.internal.tasks.testing.junit.JUnitTestClassExecutor.execute(JUnitTestClassExecutor.java:38)
